# freq (s^-1)	PSD (strain^2 s)
2.007500e+02	9.505578e-24
2.010000e+02	9.516456e-24
2.012500e+02	9.527336e-24
2.015000e+02	9.538217e-24
2.017500e+02	9.549100e-24
2.020000e+02	9.559984e-24
2.022500e+02	9.570869e-24
2.025000e+02	9.581756e-24
2.027500e+02	9.592645e-24
2.030000e+02	9.603535e-24
2.032500e+02	9.614426e-24
2.035000e+02	9.625319e-24
2.037500e+02	9.636213e-24
2.040000e+02	9.647109e-24
2.042500e+02	9.658006e-24
2.045000e+02	9.668905e-24
2.047500e+02	9.679804e-24
2.050000e+02	9.690706e-24
2.052500e+02	9.701608e-24
2.055000e+02	9.712513e-24
2.057500e+02	9.723418e-24
2.060000e+02	9.734325e-24
2.062500e+02	9.745233e-24
2.065000e+02	9.756143e-24
2.067500e+02	9.767054e-24
2.070000e+02	9.777966e-24
2.072500e+02	9.788880e-24
2.075000e+02	9.799795e-24
2.077500e+02	9.810711e-24
2.080000e+02	9.821629e-24
2.082500e+02	9.832548e-24
2.085000e+02	9.843468e-24
2.087500e+02	9.854390e-24
2.090000e+02	9.865313e-24
2.092500e+02	9.876237e-24
2.095000e+02	9.887163e-24
2.097500e+02	9.898090e-24
2.100000e+02	9.909018e-24
2.102500e+02	9.919948e-24
2.105000e+02	9.930879e-24
2.107500e+02	9.941811e-24
2.110000e+02	9.952744e-24
2.112500e+02	9.963679e-24
2.115000e+02	9.974615e-24
2.117500e+02	9.985552e-24
2.120000e+02	9.996491e-24
2.122500e+02	1.000743e-23
2.125000e+02	1.001837e-23
2.127500e+02	1.002931e-23
2.130000e+02	1.004026e-23
2.132500e+02	1.005120e-23
2.135000e+02	1.006215e-23
2.137500e+02	1.007310e-23
2.140000e+02	1.008404e-23
2.142500e+02	1.009499e-23
2.145000e+02	1.010594e-23
2.147500e+02	1.011690e-23
2.150000e+02	1.012785e-23
2.152500e+02	1.013880e-23
2.155000e+02	1.014976e-23
2.157500e+02	1.016072e-23
2.160000e+02	1.017168e-23
2.162500e+02	1.018263e-23
2.165000e+02	1.019359e-23
2.167500e+02	1.020456e-23
2.170000e+02	1.021552e-23
2.172500e+02	1.022648e-23
2.175000e+02	1.023745e-23
2.177500e+02	1.024842e-23
2.180000e+02	1.025938e-23
2.182500e+02	1.027035e-23
2.185000e+02	1.028132e-23
2.187500e+02	1.029229e-23
2.190000e+02	1.030326e-23
2.192500e+02	1.031424e-23
2.195000e+02	1.032521e-23
2.197500e+02	1.033619e-23
2.200000e+02	1.034716e-23
2.202500e+02	1.035814e-23
2.205000e+02	1.036912e-23
2.207500e+02	1.038010e-23
2.210000e+02	1.039108e-23
2.212500e+02	1.040206e-23
2.215000e+02	1.041305e-23
2.217500e+02	1.042403e-23
2.220000e+02	1.043502e-23
2.222500e+02	1.044600e-23
2.225000e+02	1.045699e-23
2.227500e+02	1.046798e-23
2.230000e+02	1.047897e-23
2.232500e+02	1.048996e-23
2.235000e+02	1.050095e-23
2.237500e+02	1.051195e-23
2.240000e+02	1.052294e-23
2.242500e+02	1.053394e-23
2.245000e+02	1.054493e-23
2.247500e+02	1.055593e-23
2.250000e+02	1.056693e-23
2.252500e+02	1.057793e-23
2.255000e+02	1.058893e-23
2.257500e+02	1.059993e-23
