% Freq (Hz)	Omega_0(f)	2*sigma(f)
3.584375e+01	2.428722e-07	1.060131e-05
3.587500e+01	-3.351215e-08	1.475525e-04
3.593750e+01	3.861936e-07	9.984776e-05
3.596875e+01	-1.918520e-06	6.520226e-06
3.600000e+01	-9.555693e-07	2.287207e-06
3.603125e+01	-7.407227e-07	1.489766e-06
3.606250e+01	-2.164204e-07	1.389856e-06
3.609375e+01	-6.306495e-07	1.352929e-06
3.612500e+01	-2.281103e-07	1.342733e-06
3.615625e+01	1.290998e-07	1.328335e-06
3.618750e+01	-4.137711e-07	1.316356e-06
3.621875e+01	3.308342e-07	1.359115e-06
3.625000e+01	8.691440e-07	1.426945e-06
3.628125e+01	3.082337e-07	1.363991e-06
3.631250e+01	-3.446587e-07	1.330076e-06
3.634375e+01	-2.428565e-07	1.334227e-06
3.637500e+01	-3.476809e-07	1.336186e-06
3.640625e+01	-5.109102e-07	1.351092e-06
3.643750e+01	-9.267682e-07	1.378062e-06
3.646875e+01	-8.655122e-07	1.521416e-06
3.653125e+01	-2.369104e-07	1.703134e-06
3.656250e+01	1.657540e-06	1.803768e-06
3.659375e+01	-1.125440e-07	2.628000e-06
3.662500e+01	1.450558e-06	6.973312e-06
3.678125e+01	3.081327e-07	5.399006e-06
3.681250e+01	2.981505e-07	2.287240e-06
3.684375e+01	8.545208e-07	1.631933e-06
3.687500e+01	2.580761e-08	1.466562e-06
3.690625e+01	6.139093e-07	1.421142e-06
3.693750e+01	9.681142e-07	1.420956e-06
3.696875e+01	5.144742e-07	1.467569e-06
3.700000e+01	-1.483105e-07	1.446176e-06
3.703125e+01	-2.845326e-07	1.397462e-06
3.706250e+01	-4.035897e-08	1.359275e-06
3.709375e+01	5.787473e-07	1.333081e-06
3.712500e+01	4.951731e-07	1.322877e-06
3.715625e+01	1.755783e-06	1.336318e-06
3.718750e+01	5.272736e-07	1.299205e-06
3.721875e+01	1.516785e-06	1.311785e-06
3.725000e+01	1.059311e-06	1.618177e-06
3.728125e+01	-4.829009e-07	5.027805e-06
3.734375e+01	-5.256727e-07	1.908273e-06
3.737500e+01	3.161761e-07	1.240349e-06
3.740625e+01	-1.753337e-07	1.242098e-06
3.743750e+01	-3.421970e-07	1.275462e-06
3.746875e+01	1.590372e-06	1.398653e-06
3.753125e+01	-3.620778e-07	1.434542e-06
3.756250e+01	-1.688871e-06	1.246781e-06
3.759375e+01	4.697493e-07	1.207170e-06
3.762500e+01	-2.667074e-07	1.190609e-06
3.765625e+01	2.685002e-07	1.182613e-06
3.768750e+01	-3.825063e-07	1.181925e-06
3.771875e+01	1.102059e-06	1.185126e-06
3.775000e+01	-1.603857e-07	1.189715e-06
3.778125e+01	-6.146951e-07	1.184267e-06
3.781250e+01	-1.031744e-06	1.183214e-06
3.784375e+01	8.072686e-07	1.180870e-06
3.787500e+01	2.761113e-07	1.181067e-06
3.790625e+01	-3.742304e-07	1.183604e-06
3.793750e+01	8.424613e-07	1.190751e-06
3.796875e+01	6.285967e-07	1.188399e-06
3.800000e+01	-8.047753e-07	1.193195e-06
3.803125e+01	-4.475996e-07	1.187637e-06
3.806250e+01	-8.780669e-08	1.192348e-06
3.809375e+01	2.870817e-07	1.195259e-06
3.812500e+01	-1.009022e-06	1.192007e-06
3.815625e+01	3.445968e-07	1.185058e-06
3.818750e+01	2.354839e-07	1.187683e-06
3.821875e+01	-2.511277e-07	1.229255e-06
3.825000e+01	-4.821631e-07	1.304352e-06
3.828125e+01	-3.261710e-07	1.231105e-06
3.831250e+01	-3.967979e-07	1.202794e-06
3.834375e+01	6.837669e-07	1.205128e-06
3.837500e+01	2.524253e-07	1.207799e-06
3.840625e+01	5.256219e-07	1.208795e-06
3.853125e+01	1.599118e-07	1.390201e-06
3.856250e+01	-4.369089e-07	1.253886e-06
3.859375e+01	8.635677e-07	1.247239e-06
3.862500e+01	9.456624e-07	1.255495e-06
3.865625e+01	-1.965265e-07	1.254256e-06
3.868750e+01	-3.231957e-07	1.244504e-06
3.871875e+01	5.217334e-08	1.246652e-06
3.875000e+01	-5.832479e-07	1.261339e-06
3.878125e+01	5.047864e-07	1.266826e-06
3.881250e+01	8.938070e-07	1.271925e-06
3.884375e+01	-4.859499e-07	1.277489e-06
3.887500e+01	-8.136873e-07	1.294114e-06
3.890625e+01	1.034187e-06	1.379172e-06
3.893750e+01	7.393845e-07	1.428154e-06
3.896875e+01	-5.937865e-08	1.386537e-06
3.900000e+01	-4.881193e-07	1.341035e-06
3.903125e+01	-2.767959e-08	1.287466e-06
3.906250e+01	2.062504e-07	1.264784e-06
3.909375e+01	-4.315161e-07	1.262121e-06
3.912500e+01	1.332417e-07	1.264724e-06
3.915625e+01	9.745597e-07	1.273742e-06
3.918750e+01	6.341016e-07	1.277653e-06
3.921875e+01	1.167332e-06	1.303994e-06
3.925000e+01	1.169326e-06	1.360384e-06
3.928125e+01	-4.494891e-07	1.296335e-06
3.931250e+01	-7.293720e-08	1.292008e-06
3.934375e+01	-1.049879e-07	1.304007e-06
3.937500e+01	-2.041902e-09	1.337220e-06
3.940625e+01	2.063156e-07	1.355032e-06
3.943750e+01	-1.637137e-06	1.341620e-06
3.946875e+01	-4.081712e-07	1.476423e-06
